,tweet_id,favorites,retweet_count
0,892420643555336193,38160,8349
1,892177421306343426,32729,6171
2,891815181378084864,24639,4082
3,891689557279858688,41497,8486
4,891327558926688256,39671,9185
5,891087950875897856,19922,3055
6,890971913173991426,11643,2028
7,890729181411237888,64382,18531
8,890609185150312448,27366,4197
9,890240255349198849,31408,7252
10,890006608113172480,30190,7205
11,889880896479866881,27357,4888
12,889665388333682689,47363,9873
13,889638837579907072,26735,4465
14,889531135344209921,14870,2206
15,889278841981685760,24854,5279
16,888917238123831296,28644,4413
17,888804989199671297,25152,4219
18,888554962724278272,19525,3489
19,888078434458587136,21415,3435
20,887705289381826560,29700,5291
21,887517139158093824,45565,11465
22,887473957103951883,67999,17853
23,887343217045368832,33160,10224
24,887101392804085760,30098,5860
25,886983233522544640,34602,7633
26,886736880519319552,11863,3223
27,886680336477933568,22092,4386
28,886366144734445568,20864,3142
29,886267009285017600,116,4
30,886258384151887873,27554,6176
31,886054160059072513,0,105
32,885984800019947520,32151,6676
33,885528943205470208,35425,6322
34,885518971528720385,20120,3697
35,885311592912609280,0,18247
36,885167619883638784,21586,4303
37,884925521741709313,76225,17973
38,884876753390489601,27498,5550
39,884562892145688576,23931,4646
40,884441805382717440,26573,5560
41,884247878851493888,71902,20133
42,884162670584377345,20046,2940
43,883838122936631299,21569,3388
44,883482846933004288,45198,9783
45,883360690899218434,22333,3640
46,883117836046086144,36613,6559
47,882992080364220416,23595,3859
48,882762694511734784,27874,4839
49,882627270321602560,27489,5988
50,882268110199369728,44276,11410
51,882045870035918850,28925,4890
52,881906580714921986,23950,3339
53,881666595344535552,49832,10498
54,881633300179243008,124,7
55,881536004380872706,48683,15692
56,881268444196462592,22739,5089
57,880935762899988482,16757,2740
58,880872448815771648,20951,3753
59,880465832366813184,28097,6172
60,880221127280381952,26648,4151
61,880095782870896641,27217,4289
62,879862464715927552,21988,3445
63,879674319642796034,307,10
64,879492040517615616,23075,3139
65,879415818425184262,104288,43528
66,879376492567855104,16530,3071
67,879130579576475649,0,6724
68,879050749262655488,22224,4651
69,879008229531029506,18699,2657
70,878776093423087618,19128,4072
71,878604707211726852,29821,7097
72,878404777348136964,0,1270
73,878316110768087041,0,6561
74,878281511006478336,7633,1270
75,878057613040115712,41427,6724
76,877736472329191424,78574,18823
77,877611172832227328,0,80
78,877556246731214848,22400,3758
79,877316821321428993,26990,5104
80,877201837425926144,26742,5515
81,876838120628539392,20400,3300
82,876537666061221889,23183,4574
83,876484053909872640,18504,2366
84,876120275196170240,27531,4636
85,875747767867523072,24848,4240
86,875144289856114688,21626,4871
87,875097192612077568,27061,5980
88,875021211251597312,25128,4667
89,874680097055178752,27464,4597
90,874434818259525634,0,14582
91,874296783580663808,25720,4069
92,874057562936811520,22361,3919
93,874012996292530176,34154,10317
94,873580283840344065,23906,3910
95,873337748698140672,0,1573
96,873213775632977920,7147,1573
97,872967104147763200,27047,5366
98,872820683541237760,14546,3668
99,872620804844003328,20566,3670
100,872486979161796608,40241,8959
101,872261713294495745,33839,6280
102,872122724285648897,34078,8080
103,871879754684805121,37599,11115
104,871762521631449091,20076,3459
105,871515927908634625,20023,3438
106,871166179821445120,0,5679
107,871102520638267392,20751,5486
108,871032628920680449,22479,3806
109,870804317367881728,33332,6187
110,870726314365509632,119,3
111,870656317836468226,12317,2640
112,870374049280663552,82135,26183
113,870308999962521604,21691,4149
114,870063196459192321,36427,8345
115,869772420881756160,42176,10035
116,869702957897576449,28083,6354
117,869596645499047938,15896,3137
118,869227993411051520,20338,3793
119,868880397819494401,65363,14521
120,868639477480148993,0,2104
121,868622495443632128,26730,5395
122,868552278524837888,10100,2104
123,867900495410671616,24126,4199
124,867774946302451713,33938,7372
125,867421006826221569,16089,2522
126,867072653475098625,0,121
127,867051520902168576,32211,7921
128,866720684873056260,20063,4848
129,866686824827068416,19332,3514
130,866450705531457537,122277,35561
131,866334964761202691,52614,14582
132,866094527597207552,0,8452
133,865718153858494464,25670,5671
134,865359393868664832,26528,5055
135,865006731092295680,28069,7768
136,864873206498414592,32374,8798
137,864279568663928832,14677,3073
138,864197398364647424,30266,9053
139,863907417377173506,20702,4199
140,863553081350529029,15370,4232
141,863471782782697472,0,2487
142,863432100342583297,23936,5338
143,863427515083354112,2276,98
144,863079547188785154,8811,1118
145,863062471531167744,8575,2487
146,862831371563274240,19270,5169
147,862722525377298433,17163,3582
148,862457590147678208,20678,5039
149,862096992088072192,74987,23689
150,861383897657036800,36336,10891
151,861288531465048066,17317,4229
152,861005113778896900,16836,3869
153,860981674716409858,0,2197
154,860924035999428608,0,838
155,860563773140209665,7574,2197
156,860524505164394496,23837,5380
157,860276583193509888,18467,3547
158,860184849394610176,16849,5957
159,860177593139703809,0,31526
160,859924526012018688,19739,4185
161,859851578198683649,15556,3586
162,859607811541651456,18784,1608
163,859196978902773760,90860,30912
164,859074603037188101,34269,13926
165,858860390427611136,0,8346
166,858843525470990336,15717,3559
167,858471635011153920,21763,4967
168,858107933456039936,15919,2989
169,857989990357356544,16338,2648
170,857746408056729600,34738,10928
171,857393404942143489,5993,1690
172,857263160327368704,20286,4652
173,857214891891077121,232,18
174,857062103051644929,0,177
175,857029823797047296,19224,4121
176,856602993587888130,0,11019
177,856543823941562368,16516,2968
178,856526610513747968,12024,1940
179,856330835276025856,0,701
